"SKU","Nama (ID)","Name (EN)","名称 (ZH)","Kategori","Harga (IDR)","MOQ","Isi Karton","Stok","Label"
"ZQS4239S","Sing-e ZQS4239S Speaker Bluetooth","Sing-e ZQS4239S Bluetooth Speaker","Sing-e ZQS4239S 蓝牙音箱","Speaker","","12","12","Ready","BEST"
"ZQS4239W","Sing-e ZQS4239W Speaker Bluetooth","Sing-e ZQS4239W Bluetooth Speaker","Sing-e ZQS4239W 蓝牙音箱","Speaker","","12","12","Ready","BEST"
"ZQS6212","Sing-e ZQS6212 Speaker Bluetooth Portabel","Sing-e ZQS6212 Portable Bluetooth Speaker","Sing-e ZQS6212 便携式蓝牙音箱","Speaker","","8","8","Ready","BEST"
"ZQS6231","Sing-e ZQS6231 Speaker Bluetooth Portabel","Sing-e ZQS6231 Portable Bluetooth Speaker","Sing-e ZQS6231 便携式蓝牙音箱","Speaker","","8","8","Ready","BEST"
"ZQS8149","Sing-e ZQS8149 Speaker Bluetooth","Sing-e ZQS8149 Bluetooth Speaker","Sing-e ZQS8149 蓝牙音箱","Speaker","","12","12","Ready","BEST"
"CQS-CX01","Type-C to Type-C Kabel Data CQS-CX01 Hitam","Type-C to Type-C Cable CQS-CX01 Black","Type-C to Type-C 数据线 CQS-CX01 黑色","Kabel Data","","200","200","Ready",""
"CQS-CX02","Type-C to Type-C Kabel Data CQS-CX02 Putih","Type-C to Type-C Cable CQS-CX02 White","Type-C to Type-C 数据线 CQS-CX02 白色","Kabel Data","","200","200","Ready",""
"CQS-CX03","Type-C to Type-C Kabel Data CQS-CX03 Hitam","Type-C to Type-C Cable CQS-CX03 Black","Type-C to Type-C 数据线 CQS-CX03 黑色","Kabel Data","","200","200","Ready",""
"CQS-CX04","Type-C to Type-C Kabel Data CQS-CX04 Putih","Type-C to Type-C Cable CQS-CX04 White","Type-C to Type-C 数据线 CQS-CX04 白色","Kabel Data","","200","200","Ready",""
"CQS-CX05","Type-C to Type-C Kabel Data CQS-CX05 Putih","Type-C to Type-C Cable CQS-CX05 White","Type-C to Type-C 数据线 CQS-CX05 白色","Kabel Data","","200","200","Ready",""
"CQS-CX06","Type-C to Type-C Kabel Data CQS-CX06 Hitam","Type-C to Type-C Cable CQS-CX06 Black","Type-C to Type-C 数据线 CQS-CX06 黑色","Kabel Data","","200","200","Ready",""
"CQS-CX07","Type-C to Type-C Kabel Data CQS-CX07 Putih","Type-C to Type-C Cable CQS-CX07 White","Type-C to Type-C 数据线 CQS-CX07 白色","Kabel Data","","200","200","Ready",""
"CQS-CX08","Type-C to Type-C Kabel Data CQS-CX08 Putih","Type-C to Type-C Cable CQS-CX08 White","Type-C to Type-C 数据线 CQS-CX08 白色","Kabel Data","","200","200","Ready","HOT"
"CQS-X09-BK-CC","Kabel Data Charger Hitam(Type-C/Type-C)","Charging Data Cable Black (Type-C/Type-C)","数据线充电线黑色（Type-C/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X09-PU-AC","Kabel Data Charger Ungu(USB-A/Type-C)","Charging Data Cable Purple (USB-A/Type-C)","数据线充电线紫色（USB-A/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X09-PU-CL","Kabel Data Charger Ungu(Type-C/Lightning)","Charging Data Cable Purple (Type-C/Lightning)","数据线充电线紫色（Type-C/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X10-BK-AC","Kabel Data Charger Hitam(USB-A/Type-C)","Charging Data Cable Black (USB-A/Type-C)","数据线充电线黑色（USB-A/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X10-BK-AL","Kabel Data Charger Hitam(USB-A/Lightning)","Charging Data Cable Black (USB-A/Lightning)","数据线充电线黑色（USB-A/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X10-BL-CC","Kabel Data Charger Biru(Type-C/Type-C)","Charging Data Cable Blue (Type-C/Type-C)","数据线充电线蓝色（Type-C/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X10-BL-CL","Kabel Data Charger Biru(Type-C/Lightning)","Charging Data Cable Blue (Type-C/Lightning)","数据线充电线蓝色（Type-C/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X11-BL-AC","Kabel Data Charger Biru(USB-A/Type-C)","Charging Data Cable Blue (USB-A/Type-C)","数据线充电线蓝色（USB-A/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X11-BL-CC","Kabel Data Charger Biru(Type-C/Type-C)","Charging Data Cable Blue (Type-C/Type-C)","数据线充电线蓝色（Type-C/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X11-OR-AL","Kabel Data Charger Oranye(USB-A/Lightning)","Charging Data Cable Orange (USB-A/Lightning)","数据线充电线橙色（USB-A/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X11-OR-CL","Kabel Data Charger Oranye(Type-C/Lightning)","Charging Data Cable Orange (Type-C/Lightning)","数据线充电线橙色（Type-C/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X12-BK-CL","Kabel Data Charger Hitam(Type-C/Lightning)","Charging Data Cable Black (Type-C/Lightning)","数据线充电线黑色（Type-C/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X12-OR-AC","Kabel Data Charger Oranye(USB-A/Type-C)","Charging Data Cable Orange (USB-A/Type-C)","数据线充电线橙色（USB-A/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-X12-OR-AL","Kabel Data Charger Oranye(USB-A/Lightning)","Charging Data Cable Orange (USB-A/Lightning)","数据线充电线橙色（USB-A/Lightning）","Kabel Data","","500","500","Ready",""
"CQS-X12-OR-CC","Kabel Data Charger Oranye(Type-C/Type-C)","Charging Data Cable Orange (Type-C/Type-C)","数据线充电线橙色（Type-C/Type-C）","Kabel Data","","500","500","Ready",""
"CQS-C09","Kepala Charger CQS-C09 Kuning-Hitam","Charger CQS-C09 Yellow-Black","充电头 CQS-C09 黄黑色","Kepala Charger","","200","200","Ready",""
"CQS-C10","Kepala Charger CQS-C10 Hitam-Putih","Charger CQS-C10 Black-White","充电头 CQS-C10 黑白色","Kepala Charger","","200","200","Ready",""
"CQS-C11","Kepala Charger CQS-C11 Kuning-Hitam","Charger CQS-C11 Yellow-Black","充电头 CQS-C11 黄黑色","Kepala Charger","","200","200","Ready",""
"CQS-C12","Kepala Charger CQS-C12 Putih","Charger CQS-C12 White","充电头 CQS-C12 白色","Kepala Charger","","200","200","Ready",""
"CQS-C13","Kepala Charger CQS-C13 Putih","Charger CQS-C13 White","充电头 CQS-C13 白色","Kepala Charger","","200","200","Ready",""
"CQS-C14","Kepala Charger CQS-C14 Putih","Charger CQS-C14 White","充电头 CQS-C14 白色","Kepala Charger","","200","200","Ready",""
"CQS-C15","Kepala Charger CQS-C15 Putih","Charger CQS-C15 White","充电头 CQS-C15 白色","Kepala Charger","","200","200","Ready",""
"CQS-C16","Kepala Charger CQS-C16 Hitam","Charger CQS-C16 Black","充电头 CQS-C16 黑色","Kepala Charger","","200","200","Ready",""
"CQS-C17","Kepala Charger CQS-C17 Putih","Charger CQS-C17 White","充电头 CQS-C17 白色","Kepala Charger","","200","200","Ready",""
"CQS-C18","Kepala Charger CQS-C18 Putih","Charger CQS-C18 White","充电头 CQS-C18 白色","Kepala Charger","","200","200","Ready",""
"CQS-C19","Kepala Charger CQS-C19 Putih","Charger CQS-C19 White","充电头 CQS-C19 白色","Kepala Charger","","200","200","Ready","HOT"
"CQS-C20","Kepala Charger CQS-C20 Hitam","Charger CQS-C20 Black","充电头 CQS-C20 黑色","Kepala Charger","","100","100","Ready","HOT"
"CQS-C21","Kepala Charger CQS-C21 Putih-Ungu","Charger CQS-C21 White-Purple","充电头 CQS-C21 白紫色","Kepala Charger","","200","200","Ready",""
"CQS-C23","10Port USB Charger CQS-C23 Type-A Putih","10-Port USB Charger CQS-C23 Type-A White","10口 USB 充电器 CQS-C23 Type-A 白色","Kepala Charger","","200","200","Ready","HOT"
"CQS-C25","Type-C Charger CQS-C25 Putih","Type-C Charger CQS-C25 White","Type-C 充电器 CQS-C25 白色","Kepala Charger","","100","100","Ready","BEST"
"CQS-C26","Kepala Charger CQS-C26 Hitam","Charger CQS-C26 Black","充电头 CQS-C26 黑色","Kepala Charger","","100","100","Ready","BEST"
"CQS-C27","Kepala Charger CQS-C27 Hitam","Charger CQS-C27 Black","充电头 CQS-C27 黑色","Kepala Charger","","100","100","Ready","HOT"
"CQS-C28","Kepala Charger CQS-C28 Hitam-Perak","Charger CQS-C28 Black-Silver","充电头 CQS-C28 黑银色","Kepala Charger","","100","100","Ready","HOT"
"HED-015","Lampu Kepala 15W","15W Headlamp","15w头灯","Lampu Kepala","","60","60","Pre-order","NEW"
"HED-020","Lampu Kepala 20W","20W Headlamp","20w头灯","Lampu Kepala","","","","Pre-order","NEW"
"HED-030","Lampu Kepala 30W","30W Headlamp","30w头灯","Lampu Kepala","","","","Pre-order","NEW"
"HED-040","Headlamp 40W","40W Headlamp","40w头灯","Lampu Kepala","22000","150","150","Ready",""
"HED-050","Lampu Kepala 50W","50W Headlamp","50w头灯","Lampu Kepala","","","","Pre-order","NEW"
"HED-080","Headlamp 80W","80W Headlamp","80w头灯","Lampu Kepala","36000","120","120","Ready","HOT"
"HEDS","Lampu Tenaga Surya","Solar Light","太阳能灯","Lampu Kepala","","","","Pre-order",""
"HEDY","Lampu Roti","Bread Light","面包灯","Lampu Kepala","","","","Pre-order",""
"HEDZ-200","Lampu Kepala Teleskopik","Extendable Headlamp","伸缩头灯","Lampu Kepala","","150","150","Pre-order","NEW"
"PG-WHT-01","Pompa air galon putih","Water Pump White","水泵 白色","Pompa Air","24000","84","84","Ready",""
"PG-WHT-02B","Pompa air galon lipat satu tombol hitam","Foldable Water Pump Single Button Black","水泵折叠单钮黑色","Pompa Air","34000","60","60","Ready","HOT"
"PG-WHT-02W","Pompa air galon lipat satu tombol putih","Foldable Water Pump Single Button White","水泵折叠单钮白色","Pompa Air","34000","60","60","Ready","HOT"
"PG-WHT-03B","Pompa air galon dua tombol hitam","Water Pump Dual Button Black","水泵双钮黑色","Pompa Air","34000","60","60","Ready","HOT"
"PG-WHT-03W","Pompa air galon dua tombol putih","Water Pump Dual Button White","水泵双钮白色","Pompa Air","34000","60","60","Ready","HOT"
"PG-WHT-04B","Pompa air galon satu tombol hitam","Water Pump Single Button Black","水泵单钮黑色","Pompa Air","34000","60","60","Ready","HOT"
"PG-WHT-04W","Pompa air galon satu tombol putih","Water Pump Single Button White","水泵单钮白色","Pompa Air","34000","60","60","Ready","HOT"
"TBOX-PL","Kotak tisu transparan","Tissue Box Transparent","纸巾盒 透明色","Kotak Tisu","22000","24","24","Ready",""
"TBOX-PL-C","Kotak tisu cokelat","Tissue Box Coffee","纸巾盒 咖啡色","Kotak Tisu","22000","24","24","Ready",""
"TBOX-PL-H","Kotak tisu hijau","Tissue Box Green","纸巾盒 绿色","Kotak Tisu","22000","24","24","Ready",""
"YH-333","Setrika kering","Dry Iron","干式熨斗","Setrika","81000","20","20","Ready","HOT"
"YH-666","Setrika kering","Dry Iron","干式熨斗","Setrika","81000","20","20","Ready","HOT"
